ISO3,Country,LAT,LON,Technology,Facilities
AUT,Austria,47.61395,14.955760406304837,Solar,4
AUT,Austria,48.37570605597784,13.63635812335319,Wind,2
AUT,Austria,46.85219152951476,13.63635812335319,Heat pumps,8
AUT,Austria,46.85219153,13.63635812,Batteries,0
BEL,Belgium,50.65244095902296,5.203888186040942,Solar,2
BEL,Belgium,51.19202161346739,4.2693070777619315,Wind,1
BEL,Belgium,50.11286030457853,4.269307077761931,Heat pumps,3
BEL,Belgium,50.1128603,4.269307078,Batteries,0
BGR,Bulgaria,42.50743579094997,25.156937939076883,Solar,0
BGR,Bulgaria,42.75312,24.43971099891373,Wind,1
BGR,Bulgaria,42.75312,26.49889624740286,Heat pumps,1
BGR,Bulgaria,42.50743579094997,25.156937939076883,Batteries,0
HRV,Croatia,45.48571,17.88832,Solar,1
HRV,Croatia,45.48571,16.16931,Wind,1
HRV,Croatia,44.76447,15.28001,Heat pumps,2
HRV,Croatia,45.81516820951896,16.375299995318873,Batteries,0
CYP,Cyprus,35.02692765071161,33.21067364295644,Solar,0
CYP,Cyprus,35.02692765071161,33.21067364295644,Wind,0
CYP,Cyprus,35.02692765071161,33.21067364295644,Heat pumps,0
CYP,Cyprus,35.02692765071161,33.21067364295644,Batteries,0
CZE,Czechia,49.77525,16.00112460881185,Solar,0
CZE,Czechia,50.35250882226311,15.001274849142797,Wind,5
CZE,Czechia,49.19798176647489,15.001274849142796,Heat pumps,8
CZE,Czechia,49.7439047,15.3381061,Batteries,0
DNK,Denmark,55.36554,10.06484,Solar,2
DNK,Denmark,55.65792,11.43264,Wind,13
DNK,Denmark,55.34056,11.98195,Heat pumps,5
DNK,Denmark,56.00660467966856,9.161747834174198,Batteries,0
EST,Estonia,58.643695426630906,26.56859,Solar,1
EST,Estonia,59.287900219157535,25.452793802648113,Wind,2
EST,Estonia,57.999490634104276,25.45279380264811,Heat pumps,1
EST,Estonia,58.73792679883725,25.933430249887753,Batteries,0
FIN,Finland,62.09567,24.1936,Solar,2
FIN,Finland,63.07363,28.64296,Wind,6
FIN,Finland,64.80172,26.57267,Heat pumps,4
FIN,Finland,63.234845163481054,27.27601887860699,Batteries,0
FRA,France,48.08255,-0.1112,Solar,7
FRA,France,48.3753,4.063603,Wind,9
FRA,France,44.56394,0.547978,Heat pumps,16
FRA,France,44.62652,5.535771,Batteries,2
DEU,Germany,49.58200383923622,8.736766,Solar,22
DEU,Germany,49.58200383923622,11.840203943914412,Wind,64
DEU,Germany,52.68544154157934,11.840203943914412,Heat pumps,24
DEU,Germany,52.68544154157934,8.736766,Batteries,4
GRC,Greece,39.78860720622335,21.698856174086302,Solar,0
GRC,Greece,39.78860720622335,21.698856174086302,Wind,1
GRC,Greece,39.78860720622335,21.698856174086302,Heat pumps,0
GRC,Greece,39.78860720622335,21.698856174086302,Batteries,0
HUN,Hungary,47.09566172728619,19.446858278848097,,1
HUN,Hungary,47.09566172728619,19.446858278848097,Wind,0
HUN,Hungary,47.92455713692681,18.939277178812613,Heat pumps,3
HUN,Hungary,46.47534520698173,18.939277178812613,Batteries,3
IRL,Ireland,53.087053817432405,-7.799200052796378,Solar,0
IRL,Ireland,53.087053817432405,-7.799200052796378,Wind,0
IRL,Ireland,53.18059120995006,-8.01024,Heat pumps,1
IRL,Ireland,53.087053817432405,-7.799200052796378,Batteries,0
ITA,Italy,44.61092,10.8056,Solar,11
ITA,Italy,42.39106,13.05225,Wind,15
ITA,Italy,40.67559,16.08297,Heat pumps,27
ITA,Italy,44.761903249305576,11.080923301395302,Batteries,0
LVA,Latvia,57.06705174036509,25.45690202645035,Solar,0
LVA,Latvia,57.06705174036509,25.45690202645035,Wind,0
LVA,Latvia,57.06705174036509,25.45690202645035,Heat pumps,0
LVA,Latvia,57.06705174036509,25.45690202645035,Batteries,0
LTU,Lithuania,55.284319484766066,23.88064027584349,Solar,5
LTU,Lithuania,55.10543049547232,24.091919959816007,Wind,0
LTU,Lithuania,55.10543049547232,24.091919959816007,Heat pumps,0
LTU,Lithuania,55.10543049547232,24.091919959816007,Batteries,0
LUX,Luxembourg,49.74912335874522,6.066204562357955,Solar,0
LUX,Luxembourg,49.74912335874522,6.066204562357955,Wind,0
LUX,Luxembourg,49.74912335874522,6.066204562357955,Heat pumps,0
LUX,Luxembourg,49.74912335874522,6.066204562357955,Batteries,0
MLT,Malta,35.88876108736916,14.444509002420808,Solar,0
MLT,Malta,35.88876108736916,14.444509002420808,Wind,0
MLT,Malta,35.88876108736916,14.444509002420808,Heat pumps,0
MLT,Malta,35.88876108736916,14.444509002420808,Batteries,0
NLD,Netherlands,52.298700374441786,6.100242071952095,Solar,7
NLD,Netherlands,52.80794493737587,5.218204615472052,Wind,7
NLD,Netherlands,51.78946,5.218204615472051,Heat pumps,6
NLD,Netherlands,51.76912769488265,5.45478675821518,Batteries,0
POL,Poland,50.97160612489243,18.134360214009245,Solar,4
POL,Poland,50.97160612489243,20.487668402888115,Wind,9
POL,Poland,53.32491,20.487668402888115,Heat pumps,14
POL,Poland,53.32491,18.134360214009245,Batteries,1
PRT,Portugal,39.63404977497817,-7.55433,Solar,1
PRT,Portugal,40.06830617318707,-8.30648,Wind,5
PRT,Portugal,39.19979337676928,-8.30648,Heat pumps,1
PRT,Portugal,39.30692813720016,-8.27442287702349,Batteries,0
ROU,Romania,45.73315098661948,24.9738605167843,Solar,0
ROU,Romania,45.73315098661948,24.9738605167843,Wind,2
ROU,Romania,45.73315098661948,24.9738605167843,Heat pumps,0
ROU,Romania,45.73315098661948,24.9738605167843,Batteries,0
SVK,Slovakia,48.73520924969388,19.05072597023785,Solar,0
SVK,Slovakia,48.72671,18.772701179012586,Wind,1
SVK,Slovakia,48.72671,20.66541941361217,Heat pumps,8
SVK,Slovakia,48.73520924969388,19.05072597023785,Batteries,0
SVN,Slovenia,46.12542205901039,14.653676113891938,Solar,1
SVN,Slovenia,46.06292648004488,14.939274928007737,Wind,0
SVN,Slovenia,46.12542205901039,15.609242248878397,Heat pumps,3
SVN,Slovenia,46.06292648004488,14.939274928007737,Batteries,0
ESP,Spain,38.77251759003092,-5.19316,Solar,5
ESP,Spain,38.77251759003092,-2.04088,Wind,38
ESP,Spain,41.924794622422546,-2.04088,Heat pumps,9
ESP,Spain,41.924794622422546,-5.19316,Batteries,1
SWE,Sweden,64.13878360119891,16.200772903100297,Solar,0
SWE,Sweden,62.811484968080336,17.62243661607123,Wind,3
SWE,Sweden,63.70017492284865,16.083180462236417,Heat pumps,8
SWE,Sweden,61.92279501331202,16.083180462236417,Batteries,2
NOW,Norway,61.34405306827,9.664689085910863,Solar,1
NOW,Norway,61.34405306827,9.664689085910863,Wind,0
NOW,Norway,60.91211,7.687938,Heat pumps,2
NOW,Norway,62.89806,10.41255,Batteries,2
GBR,United Kingdom,52.608966323648744,-1.5279596097645198,Solar,0
GBR,United Kingdom,51.97083,2.135313,Wind,7
GBR,United Kingdom,53.38926,-0.73138,Heat pumps,6
GBR,United Kingdom,52.608966323648744,-1.5279596097645198,Batteries,0
CHE,Switzerland,46.839703740787414,7.696292152421943,Solar,0
CHE,Switzerland,46.839703740787414,7.696292152421943,Wind,0
CHE,Switzerland,46.839703740787414,7.696292152421943,Heat pumps,0
CHE,Switzerland,46.839703740787414,7.696292152421943,Batteries,0